/* F3 - Waermeleitung in Kristallen - HZB - Hanjo Ryll, Bastian Klemke
/* Spannung am Agilent 6.667000E+0 V
/* Pulszeit am Agilent 5.000000E-2 s
/* t [s]   R1 [Ohm]  R2 [Ohm] 
-3.000000E+0     1.203874E+2     1.084363E+2
-2.968947E+0     1.203960E+2     1.084388E+2
-2.939319E+0     1.203960E+2     1.084394E+2
-2.910162E+0     1.203964E+2     1.084394E+2
-2.887683E+0     1.203824E+2     1.084363E+2
-2.853258E+0     1.203823E+2     1.084466E+2
-2.824642E+0     1.204035E+2     1.084445E+2
-2.795075E+0     1.203935E+2     1.084445E+2
-2.769897E+0     1.203706E+2     1.084231E+2
-2.744702E+0     1.203834E+2     1.084231E+2
-2.723257E+0     1.203834E+2     1.084379E+2
-2.699448E+0     1.203908E+2     1.084429E+2
-2.668978E+0     1.203916E+2     1.084317E+2
-2.637703E+0     1.203785E+2     1.084255E+2
-2.613262E+0     1.203836E+2     1.084367E+2
-2.588457E+0     1.203816E+2     1.084268E+2
-2.547119E+0     1.203842E+2     1.084271E+2
-2.524214E+0     1.203804E+2     1.084383E+2
-2.501011E+0     1.203804E+2     1.084432E+2
-2.473250E+0     1.203932E+2     1.084366E+2
-2.448335E+0     1.203869E+2     1.084366E+2
-2.424520E+0     1.203694E+2     1.084366E+2
-2.395422E+0     1.203780E+2     1.084243E+2
-2.372576E+0     1.203934E+2     1.084404E+2
-2.346483E+0     1.203839E+2     1.084205E+2
-2.315292E+0     1.203729E+2     1.084228E+2
-2.285613E+0     1.203763E+2     1.084355E+2
-2.257097E+0     1.203893E+2     1.084226E+2
-2.219473E+0     1.203802E+2     1.084339E+2
-2.194323E+0     1.203883E+2     1.084311E+2
-2.168571E+0     1.203898E+2     1.084294E+2
-2.138601E+0     1.203832E+2     1.084306E+2
-2.106557E+0     1.203794E+2     1.084306E+2
-2.075589E+0     1.203796E+2     1.084282E+2
-2.044553E+0     1.203796E+2     1.084249E+2
-2.020295E+0     1.203756E+2     1.084154E+2
-1.989644E+0     1.203700E+2     1.084199E+2
-1.959414E+0     1.203765E+2     1.084265E+2
