Zeit	T_2.Stufe	Err	T_Basis	Err	R_Basis	Err	Heizleistung	Err	Messzeit	U_Agilent	U_Oszi	Err	t_Agilent	Pulsenergie	Err	Anzahl	I_Thermometer	t_max (Th_1)	Err	t_max (Th_2)	Err
h:min	K	K	K	K	Ohm	Ohm	W	W	s	V	V	V	s	J	J	Pulse	mA	s	s	s	s
10:54	35	0.007	30.065	0.005	3.833	1E-3	12.65	--	2	6.667	4.88	0.04	0.01	--	--	10	0.15				
11:17	40	0.004	36.227	0.005	5.204	1E-3	13.25	--	2	6.667	4.88	0.04	0.012			10	0.15				
12:00	50	0.005	47.965	0.006	8.569	0.002	14.1		3	6.667	4.92	0.04	0.02			10	0.17				
12:43	60	0.002	58.743	0.005	12.48	0.003	14.65		3.8	6.667	4.88	0.04	0.035			10	0.17				
13:32	69.998	0.006	68.88	0.002	16.648	0.002	15.05		5	6.667	4.84	0.04	0.05			10	0.2				
14:25	80	0.002	78.929	0.002	20.913	1E-3	15.4		6	6.667	4.84	0.04	0.05			10	0.2				
15:20	100	1E-3	98.918	0.002	29.479	1E-3	16.35		12	6.667	4.84	0.04	0.072			10	0.23				
16:30	200	1E-3	198.891	0.002	70.577	0.002	20.2		120	6.667	4.76	0.04	0.35			5	0.38				
17:25	295	0.005	293.33	0.007	107.85	0.003	27.1		180	6.667	4.72	0.04	0.8			5	0.45				
