Current	Voltage	PhotoCurrent	EmissionPower	Wavelength	EQE	WPE	Temperature	Time	SecondVoltage
A	V	A	mW	nm	%	%	°C	s	V
2.314989E-6	5.975955E-3	-9.152000E-11	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
2.427219E-6	5.382927E-2	5.948700E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
1.136974E-6	1.056704E-1	5.481200E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
2.202829E-6	1.555176E-1	5.113700E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
1.305264E-6	2.073586E-1	6.509900E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
2.090606E-6	2.552119E-1	7.256300E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
1.361311E-6	3.070531E-1	7.012000E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
2.539389E-6	3.549064E-1	6.983500E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
2.146774E-6	4.067475E-1	7.889600E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
2.707782E-6	4.506130E-1	8.209100E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
1.978508E-6	5.004602E-1	8.507300E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
1.417525E-6	5.503074E-1	5.669000E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
1.810227E-6	6.021485E-1	4.181400E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
3.829742E-6	6.500018E-1	4.064400E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
2.483418E-6	7.018429E-1	4.498300E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
2.820059E-6	7.496962E-1	3.107300E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
2.090804E-6	8.015373E-1	3.438900E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
2.539621E-6	8.493906E-1	5.689400E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
1.698089E-6	9.012317E-1	5.881900E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
3.605396E-6	9.490850E-1	4.555800E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
3.268793E-6	9.989322E-1	4.234400E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
2.707833E-6	1.050773E+0	4.115000E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
2.763978E-6	1.098627E+0	3.964700E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
1.978589E-6	1.150468E+0	3.910800E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
1.529801E-6	1.198321E+0	3.623900E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
-9.707999E-8	1.250162E+0	4.732100E-10	0.000000E+0	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000E+0
1.641967E-6	1.298015E+0	4.697300E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
1.698065E-6	1.349856E+0	4.635600E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
3.156558E-6	1.397710E+0	4.264300E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
3.380947E-6	1.451545E+0	3.797700E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
2.876093E-6	1.499398E+0	2.676000E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
2.315123E-6	1.551239E+0	1.797400E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
3.100421E-6	1.599092E+0	1.849100E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
2.427241E-6	1.650934E+0	2.192900E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
1.641830E-6	1.698787E+0	2.067100E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
3.436930E-6	1.750628E+0	1.085500E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
2.763751E-6	1.798481E+0	8.857000E-11	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
9.125757E-7	1.850322E+0	1.176600E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
1.922332E-6	1.900170E+0	1.479200E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
3.100408E-6	1.952011E+0	1.689800E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
2.483268E-6	1.999864E+0	-4.491400E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
2.819826E-6	2.051705E+0	-4.273600E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
3.941855E-6	2.099558E+0	-2.092800E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
1.529660E-6	2.151400E+0	4.099000E-11	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
2.988188E-6	2.199253E+0	-8.590000E-12	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
5.344280E-6	2.249100E+0	-9.136000E-11	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
5.624753E-6	2.298947E+0	-1.590900E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
7.139419E-6	2.348794E+0	-6.918000E-11	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
1.140280E-5	2.400635E+0	1.262400E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
1.622726E-5	2.448489E+0	1.954400E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
2.329555E-5	2.500330E+0	5.050000E-11	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
3.821753E-5	2.548183E+0	2.527000E-11	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
6.564930E-5	2.600024E+0	1.610400E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
1.104712E-4	2.647878E+0	6.217800E-10	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
2.009006E-4	2.699719E+0	2.740910E-9	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
3.567957E-4	2.747572E+0	1.109784E-8	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
6.771131E-4	2.799413E+0	4.767128E-8	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
1.216437E-3	2.849260E+0	1.664310E-7	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
2.212956E-3	2.901101E+0	5.427464E-7	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
3.674077E-3	2.948955E+0	1.390821E-6	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
5.968753E-3	3.000796E+0	3.275918E-6	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
8.932854E-3	3.048649E+0	6.384651E-6	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
1.308909E-2	3.100490E+0	1.162627E-5	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
1.797699E-2	3.148344E+0	1.866804E-5	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
