Current	Voltage	PhotoCurrent	EmissionPower	Wavelength	EQE	WPE	Temperature	Time	SecondVoltage
A	V	A	mW	nm	%	%	°C	s	V
8.000000E-5	5.280000E-3	3.275000E-9	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
0.000000E+0	4.736000E-2	8.138000E-9	0.000000E+0	0.000000	NaN	NaN	0.000000	0.000000	0.000000E+0
8.000000E-5	8.960000E-2	1.778000E-9	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
8.000000E-5	1.459200E-1	3.934000E-9	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
5.600000E-4	2.022400E-1	5.086000E-9	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
8.000000E-5	2.457600E-1	4.268000E-9	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
0.000000E+0	3.123200E-1	3.393000E-9	0.000000E+0	0.000000	NaN	NaN	0.000000	0.000000	0.000000E+0
8.000000E-5	3.456000E-1	2.890000E-9	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
8.000000E-4	3.891200E-1	1.088800E-8	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
4.800000E-4	4.352000E-1	1.068900E-8	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
3.200000E-4	4.761600E-1	1.996540E-7	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
2.400000E-4	5.427200E-1	2.841120E-7	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
3.200000E-4	6.041600E-1	2.733020E-7	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
8.000000E-5	6.502400E-1	3.263120E-7	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
2.400000E-4	7.014400E-1	3.273620E-7	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
2.400000E-4	7.424000E-1	3.244910E-7	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
4.000000E-4	7.884800E-1	3.663250E-7	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
6.400000E-4	8.499200E-1	4.073010E-7	0.000000E+0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000E+0
