Wavelength	Intensity	Ocean Optics Flame
nm	counts
187.89	-7.524E+1
188.27	-5.583E+1
188.64	2.184E+1
189.02	7.524E+1
189.40	0.000E+0
189.78	-2.427E+0
190.15	-4.369E+1
190.53	0.000E+0
190.91	-2.427E+0
191.29	3.884E+1
191.66	-1.699E+1
192.04	1.699E+1
192.42	-4.854E+0
192.80	1.456E+1
193.17	0.000E+0
193.55	-7.282E+0
193.93	1.311E+2
194.30	1.214E+1
194.68	-8.010E+1
195.06	0.000E+0
195.44	-4.854E+1
195.81	7.282E+0
196.19	1.942E+1
196.57	4.369E+1
196.94	8.738E+1
197.32	9.709E+1
197.70	-1.214E+1
198.07	-1.456E+1
198.45	-2.427E+0
198.83	4.854E+1
199.20	-2.427E+1
199.58	1.602E+2
199.96	3.641E+1
200.33	9.709E+0
200.71	-4.854E+0
201.09	9.466E+1
201.46	-2.184E+1
201.84	6.554E+1
202.22	2.913E+1
202.59	1.214E+1
202.97	-8.738E+1
203.34	-4.854E+0
203.72	3.155E+1
204.10	5.340E+1
204.47	7.767E+1
204.85	-1.456E+1
205.23	9.952E+1
205.60	9.709E+0
205.98	-2.427E+0
206.35	8.253E+1
206.73	1.214E+1
207.11	1.699E+1
207.48	-2.913E+1
207.86	-2.427E+0
208.23	-5.097E+1
208.61	2.427E+1
208.98	3.884E+1
209.36	-8.253E+1
209.74	1.141E+2
210.11	3.155E+1
210.49	-3.155E+1
210.86	1.942E+1
211.24	-5.583E+1
211.61	6.311E+1
211.99	-2.913E+1
212.36	3.398E+1
212.74	-2.427E+1
213.11	-7.524E+1
213.49	2.427E+0
213.87	-5.825E+1
214.24	-2.184E+1
214.62	7.039E+1
214.99	9.952E+1
215.37	8.253E+1
215.74	5.340E+1
216.12	4.369E+1
216.49	1.456E+1
216.87	-1.456E+1
217.24	3.155E+1
217.62	-5.097E+1
217.99	-3.155E+1
218.37	-1.214E+1
218.74	5.583E+1
219.11	6.068E+1
219.49	5.340E+1
219.86	-7.282E+0
220.24	4.854E+1
220.61	8.495E+1
220.99	2.913E+1
221.36	7.039E+1
221.74	2.670E+1
222.11	6.311E+1
222.49	-2.427E+1
222.86	4.854E+1
223.23	1.699E+1
223.61	7.282E+0
223.98	-2.427E+0
224.36	2.670E+1
224.73	-6.796E+1
225.11	6.796E+1
225.48	-6.068E+1
225.85	-4.126E+1
226.23	2.427E+0
226.60	-4.854E+0
226.98	-1.456E+1
227.35	1.699E+2
227.72	1.699E+1
228.10	1.068E+2
228.47	3.641E+1
228.84	6.554E+1
229.22	7.282E+0
229.59	1.699E+1
229.97	-2.427E+1
230.34	-3.398E+1
230.71	5.583E+1
231.09	6.554E+1
231.46	7.039E+1
231.83	6.068E+1
232.21	-2.184E+1
232.58	8.253E+1
232.95	-7.039E+1
233.33	4.612E+1
233.70	7.282E+1
234.07	-2.427E+0
234.45	6.068E+1
234.82	-1.699E+1
235.19	-2.427E+0
235.57	7.282E+0
235.94	-7.282E+0
236.31	-4.854E+0
236.69	-8.495E+1
237.06	0.000E+0
237.43	3.155E+1
237.80	5.340E+1
238.18	8.495E+1
238.55	7.282E+0
238.92	1.117E+2
239.30	2.670E+1
239.67	7.039E+1
240.04	7.767E+1
240.41	1.456E+2
240.79	3.155E+1
241.16	3.398E+1
241.53	9.709E+0
241.90	6.796E+1
242.28	-9.709E+0
242.65	1.019E+2
243.02	-6.554E+1
243.39	7.282E+1
243.77	-4.854E+0
244.14	-2.427E+1
244.51	-1.699E+1
244.88	-1.942E+1
245.25	-5.583E+1
245.63	-8.010E+1
246.00	1.092E+2
246.37	8.495E+1
246.74	4.369E+1
247.11	6.796E+1
247.49	6.796E+1
247.86	7.767E+1
248.23	-1.456E+1
248.60	-2.184E+1
248.97	1.942E+1
249.35	1.019E+2
249.72	-6.796E+1
250.09	-4.612E+1
250.46	7.282E+1
250.83	6.311E+1
251.20	6.068E+1
251.58	4.854E+0
251.95	-2.913E+1
252.32	2.184E+1
252.69	-7.282E+0
253.06	6.311E+1
253.43	-9.466E+1
253.80	-1.456E+1
254.17	4.612E+1
254.55	1.942E+1
254.92	-8.495E+1
255.29	-2.670E+1
255.66	9.466E+1
256.03	-1.214E+2
256.40	6.311E+1
256.77	-1.092E+2
257.14	-1.942E+1
257.51	8.738E+1
257.88	-3.155E+1
258.26	-1.699E+1
258.63	8.738E+1
259.00	1.456E+1
259.37	-1.942E+1
259.74	4.854E+1
260.11	4.854E+0
260.48	4.854E+0
260.85	1.214E+1
261.22	-4.854E+0
261.59	1.942E+1
261.96	-4.126E+1
262.33	1.529E+2
262.70	1.699E+1
263.07	5.583E+1
263.44	4.854E+1
263.81	2.184E+1
264.18	-3.641E+1
264.55	3.641E+1
264.92	-7.767E+1
265.29	2.427E+1
265.66	4.854E+0
266.03	-4.854E+1
266.40	-5.097E+1
266.77	-1.456E+2
267.14	-7.282E+0
267.51	1.481E+2
267.88	7.767E+1
268.25	-2.913E+1
268.62	-1.456E+1
268.99	2.670E+1
269.36	1.456E+2
269.73	2.427E+1
270.10	7.767E+1
270.47	8.495E+1
270.84	-2.184E+1
271.21	-4.369E+1
271.58	2.184E+1
271.95	-6.311E+1
272.32	-2.913E+1
272.69	5.097E+1
273.06	6.068E+1
273.43	-1.214E+1
273.80	-8.981E+1
274.17	-5.825E+1
274.53	2.184E+1
274.90	3.398E+1
275.27	1.214E+1
275.64	-4.854E+1
276.01	9.709E+0
276.38	1.214E+1
276.75	-3.641E+1
277.12	-8.981E+1
277.49	-2.913E+1
277.86	-8.738E+1
278.22	5.097E+1
278.59	5.097E+1
278.96	-5.097E+1
279.33	4.854E+0
279.70	6.311E+1
280.07	1.384E+2
280.44	-5.340E+1
280.80	-2.913E+1
281.17	3.641E+1
281.54	8.981E+1
281.91	-5.340E+1
282.28	-1.699E+1
282.65	5.825E+1
283.02	5.583E+1
283.38	-5.583E+1
283.75	1.432E+2
284.12	2.427E+1
284.49	6.796E+1
284.86	-2.184E+1
285.22	8.495E+1
285.59	-6.068E+1
285.96	-1.699E+1
286.33	4.854E+1
286.70	-4.126E+1
287.06	1.141E+2
287.43	1.432E+2
287.80	-2.427E+0
288.17	9.709E+0
288.53	-3.884E+1
288.90	-4.854E+0
289.27	2.427E+1
289.64	-2.427E+0
290.01	4.854E+0
290.37	2.427E+1
290.74	7.524E+1
291.11	-7.524E+1
291.48	1.456E+1
291.84	-2.670E+1
292.21	3.641E+1
292.58	2.427E+0
292.94	9.709E+1
293.31	-3.155E+1
293.68	5.583E+1
294.05	-2.913E+1
294.41	8.010E+1
294.78	7.282E+1
295.15	4.854E+0
295.51	2.184E+1
295.88	-4.369E+1
296.25	1.092E+2
296.61	-2.427E+0
296.98	-7.282E+0
297.35	4.854E+0
297.72	1.699E+1
298.08	3.884E+1
298.45	1.942E+1
298.82	1.019E+2
299.18	7.524E+1
299.55	9.709E+0
299.91	5.825E+1
300.28	-9.709E+0
300.65	-7.524E+1
301.01	9.952E+1
301.38	2.913E+1
301.75	-2.913E+1
302.11	5.825E+1
