Wavelength	Intensity	Ocean Optics Flame
nm	counts
187.89	-4.126E+1
188.27	-1.214E+1
188.64	6.068E+1
189.02	8.738E+1
189.40	9.466E+1
189.78	-1.699E+1
190.15	3.884E+1
190.53	-5.097E+1
190.91	1.942E+1
191.29	4.612E+1
191.66	2.184E+1
192.04	8.253E+1
192.42	-1.092E+2
192.80	8.738E+1
193.17	4.854E+1
193.55	1.456E+1
193.93	4.126E+1
194.30	5.097E+1
194.68	-5.825E+1
195.06	-3.398E+1
195.44	-8.981E+1
195.81	1.214E+1
196.19	-7.767E+1
196.57	-1.942E+1
196.94	-7.282E+0
197.32	-4.126E+1
197.70	8.253E+1
198.07	-2.913E+1
198.45	-6.796E+1
198.83	-9.709E+0
199.20	-7.039E+1
199.58	-1.141E+2
199.96	-2.427E+1
200.33	-2.427E+1
200.71	6.311E+1
201.09	-1.699E+1
201.46	3.398E+1
201.84	6.068E+1
202.22	-5.583E+1
202.59	7.524E+1
202.97	4.369E+1
203.34	5.583E+1
203.72	4.854E+0
204.10	7.039E+1
204.47	5.340E+1
204.85	-2.670E+1
205.23	-3.884E+1
205.60	1.044E+2
205.98	1.117E+2
206.35	-7.282E+0
206.73	1.214E+1
207.11	-3.398E+1
207.48	-7.039E+1
207.86	-8.010E+1
208.23	-7.282E+1
208.61	4.612E+1
208.98	-1.723E+2
209.36	-2.427E+0
209.74	9.709E+0
210.11	2.184E+1
210.49	-4.369E+1
210.86	1.699E+1
211.24	-7.039E+1
211.61	6.311E+1
211.99	2.427E+0
212.36	3.641E+1
212.74	3.155E+1
213.11	7.282E+0
213.49	8.981E+1
213.87	7.039E+1
214.24	3.641E+1
214.62	8.010E+1
214.99	-1.942E+1
215.37	-5.825E+1
215.74	-4.369E+1
216.12	-5.340E+1
216.49	-7.767E+1
216.87	4.854E+0
217.24	7.282E+1
217.62	-7.282E+0
217.99	1.044E+2
218.37	-5.825E+1
218.74	3.641E+1
219.11	7.524E+1
219.49	1.942E+1
219.86	6.796E+1
220.24	9.709E+0
220.61	-4.854E+1
220.99	6.554E+1
221.36	-5.340E+1
221.74	-7.282E+1
222.11	1.456E+1
222.49	-5.825E+1
222.86	-9.709E+0
223.23	5.583E+1
223.61	1.578E+2
223.98	-2.184E+1
224.36	6.311E+1
224.73	1.942E+1
225.11	-7.767E+1
225.48	1.942E+1
225.85	2.670E+1
226.23	6.554E+1
226.60	3.398E+1
226.98	-8.738E+1
227.35	3.398E+1
227.72	-3.884E+1
228.10	2.427E+0
228.47	-7.524E+1
228.84	-8.738E+1
229.22	2.184E+1
229.59	-5.340E+1
229.97	4.854E+0
230.34	-2.427E+0
230.71	-7.282E+1
231.09	-1.019E+2
231.46	7.524E+1
231.83	-7.524E+1
232.21	-3.155E+1
232.58	3.641E+1
232.95	3.155E+1
233.33	9.952E+1
233.70	4.369E+1
234.07	-8.981E+1
234.45	-4.612E+1
234.82	-1.456E+1
235.19	3.155E+1
235.57	3.641E+1
235.94	4.854E+0
236.31	4.612E+1
236.69	-8.495E+1
237.06	-9.709E+0
237.43	-5.825E+1
237.80	4.126E+1
238.18	4.369E+1
238.55	4.369E+1
238.92	2.913E+1
239.30	2.913E+1
239.67	4.854E+1
240.04	-4.126E+1
240.41	-1.699E+1
240.79	-2.913E+1
241.16	1.068E+2
241.53	-9.709E+0
241.90	7.282E+0
242.28	5.825E+1
242.65	2.913E+1
243.02	-3.884E+1
243.39	-8.738E+1
243.77	-1.456E+1
244.14	1.068E+2
244.51	-2.913E+1
244.88	-2.913E+1
245.25	2.427E+1
245.63	-1.214E+1
246.00	-3.884E+1
246.37	-1.602E+2
246.74	7.282E+1
247.11	-5.097E+1
247.49	-6.311E+1
247.86	1.311E+2
248.23	1.189E+2
248.60	6.068E+1
248.97	-2.913E+1
249.35	9.466E+1
249.72	6.554E+1
250.09	2.670E+1
250.46	-1.359E+2
250.83	9.709E+0
