Wavelength	Intensity	Ocean Optics Flame
nm	counts
187.89	-5.097E+1
188.27	-1.214E+1
188.64	1.044E+2
189.02	-1.019E+2
189.40	6.796E+1
189.78	-8.981E+1
190.15	4.612E+1
190.53	-6.311E+1
190.91	1.044E+2
191.29	4.854E+1
191.66	1.214E+1
192.04	-4.854E+0
192.42	-1.699E+1
192.80	-1.699E+1
193.17	-9.709E+0
193.55	4.369E+1
193.93	-6.068E+1
194.30	-5.825E+1
194.68	3.155E+1
195.06	-3.884E+1
195.44	3.641E+1
195.81	3.155E+1
196.19	1.165E+2
196.57	7.039E+1
196.94	3.884E+1
197.32	1.044E+2
197.70	-4.126E+1
198.07	3.398E+1
198.45	-8.981E+1
198.83	-2.427E+1
199.20	4.854E+1
199.58	1.214E+1
199.96	-2.427E+0
200.33	7.282E+0
200.71	6.554E+1
201.09	6.311E+1
201.46	-1.505E+2
201.84	-3.155E+1
202.22	-9.709E+0
202.59	1.942E+1
202.97	6.554E+1
203.34	-3.155E+1
203.72	4.612E+1
204.10	5.825E+1
204.47	9.709E+0
204.85	-3.884E+1
205.23	7.282E+0
205.60	4.126E+1
205.98	-6.796E+1
206.35	1.456E+1
206.73	-2.427E+1
207.11	-5.583E+1
207.48	8.253E+1
207.86	-5.340E+1
208.23	8.010E+1
208.61	4.612E+1
208.98	7.767E+1
209.36	-8.981E+1
209.74	8.981E+1
210.11	4.369E+1
210.49	-1.456E+1
210.86	5.340E+1
211.24	4.369E+1
211.61	6.068E+1
211.99	-4.612E+1
212.36	-1.214E+1
212.74	-7.282E+0
213.11	8.010E+1
213.49	1.432E+2
213.87	3.641E+1
214.24	7.767E+1
214.62	5.097E+1
214.99	1.189E+2
215.37	7.282E+0
215.74	-6.796E+1
216.12	-1.942E+1
216.49	4.854E+1
216.87	-1.214E+1
217.24	-5.340E+1
217.62	-9.709E+0
217.99	-1.117E+2
218.37	5.340E+1
218.74	8.981E+1
219.11	2.427E+0
219.49	3.884E+1
219.86	-6.068E+1
220.24	9.952E+1
220.61	9.466E+1
220.99	8.738E+1
221.36	9.709E+1
221.74	-4.854E+0
222.11	3.398E+1
222.49	2.184E+1
222.86	4.369E+1
223.23	1.408E+2
223.61	6.554E+1
223.98	1.699E+1
224.36	-3.155E+1
224.73	4.612E+1
225.11	7.039E+1
225.48	4.369E+1
225.85	1.359E+2
226.23	6.068E+1
226.60	-2.913E+1
226.98	-3.155E+1
227.35	6.554E+1
227.72	3.398E+1
228.10	3.398E+1
228.47	-3.884E+1
228.84	5.583E+1
229.22	-5.097E+1
229.59	-3.641E+1
229.97	3.641E+1
230.34	1.456E+1
230.71	-4.612E+1
231.09	8.738E+1
231.46	9.709E+0
231.83	4.854E+0
232.21	2.427E+0
232.58	1.189E+2
232.95	1.942E+1
233.33	1.117E+2
233.70	8.010E+1
234.07	-7.282E+0
234.45	5.340E+1
234.82	7.282E+1
235.19	1.214E+1
235.57	-8.253E+1
235.94	2.427E+1
236.31	7.039E+1
236.69	-1.214E+1
237.06	1.214E+1
237.43	8.981E+1
237.80	6.068E+1
238.18	-5.340E+1
238.55	-5.583E+1
238.92	3.398E+1
239.30	8.010E+1
239.67	1.456E+1
240.04	1.699E+1
240.41	4.612E+1
240.79	-7.282E+0
241.16	2.427E+1
241.53	3.641E+1
241.90	9.709E+0
242.28	8.010E+1
242.65	5.825E+1
243.02	3.155E+1
243.39	-7.282E+1
