Wavelength	Intensity	Ocean Optics Flame
nm	counts
187.89	8.495E+1
188.27	0.000E+0
188.64	5.340E+1
189.02	-5.097E+1
189.40	-8.981E+1
189.78	-4.126E+1
190.15	-2.427E+1
190.53	-7.524E+1
190.91	8.738E+1
191.29	1.456E+1
191.66	-7.282E+1
192.04	2.427E+0
192.42	6.068E+1
192.80	9.709E+1
193.17	7.282E+0
193.55	3.641E+1
193.93	-5.340E+1
194.30	-4.854E+1
194.68	5.340E+1
195.06	1.456E+1
195.44	9.466E+1
195.81	-5.583E+1
196.19	-4.854E+0
196.57	1.141E+2
196.94	1.141E+2
197.32	2.427E+1
197.70	3.155E+1
198.07	7.524E+1
198.45	2.670E+1
198.83	-6.311E+1
199.20	2.184E+1
199.58	4.854E+1
199.96	1.189E+2
200.33	-1.214E+1
200.71	5.097E+1
201.09	8.253E+1
201.46	8.738E+1
201.84	4.854E+0
202.22	-7.282E+1
202.59	-2.670E+1
202.97	-7.282E+0
203.34	6.796E+1
203.72	-5.583E+1
204.10	1.699E+1
204.47	9.709E+0
204.85	-3.398E+1
205.23	6.311E+1
205.60	1.942E+1
205.98	6.311E+1
206.35	8.253E+1
206.73	5.583E+1
207.11	1.141E+2
207.48	4.369E+1
207.86	-1.214E+1
208.23	7.524E+1
208.61	1.456E+2
208.98	-2.670E+1
209.36	8.981E+1
209.74	-4.612E+1
210.11	7.282E+0
210.49	0.000E+0
210.86	5.583E+1
211.24	1.699E+1
211.61	4.854E+0
211.99	-3.884E+1
212.36	3.884E+1
212.74	-3.884E+1
213.11	1.286E+2
213.49	7.039E+1
213.87	7.767E+1
214.24	1.165E+2
214.62	4.854E+1
214.99	-3.641E+1
215.37	2.427E+0
215.74	3.884E+1
216.12	5.340E+1
216.49	-9.709E+1
216.87	2.427E+1
217.24	6.796E+1
217.62	9.709E+1
217.99	1.432E+2
218.37	7.282E+1
218.74	3.155E+1
219.11	-7.767E+1
219.49	5.340E+1
219.86	4.854E+0
220.24	1.044E+2
220.61	6.068E+1
220.99	3.398E+1
221.36	4.126E+1
221.74	5.583E+1
222.11	5.825E+1
222.49	2.670E+1
222.86	3.641E+1
223.23	1.335E+2
223.61	4.612E+1
223.98	6.796E+1
224.36	4.126E+1
224.73	2.427E+0
225.11	2.427E+1
225.48	3.398E+1
225.85	9.709E+1
226.23	4.612E+1
226.60	-9.223E+1
226.98	9.466E+1
227.35	-2.670E+1
227.72	-9.709E+0
228.10	-2.184E+1
228.47	5.097E+1
228.84	2.184E+1
229.22	-7.767E+1
229.59	-5.340E+1
229.97	2.913E+1
230.34	2.427E+1
230.71	1.262E+2
231.09	0.000E+0
231.46	-1.214E+1
231.83	-7.282E+1
232.21	4.612E+1
232.58	4.369E+1
232.95	0.000E+0
233.33	8.253E+1
233.70	7.282E+0
234.07	8.495E+1
234.45	1.214E+1
234.82	5.825E+1
235.19	6.068E+1
235.57	-4.369E+1
235.94	7.282E+1
236.31	2.427E+1
236.69	-4.854E+1
237.06	8.495E+1
237.43	5.097E+1
237.80	5.583E+1
238.18	3.641E+1
238.55	3.398E+1
238.92	-2.427E+1
239.30	2.913E+1
239.67	7.282E+0
240.04	1.456E+1
240.41	5.583E+1
240.79	5.097E+1
241.16	-1.456E+1
241.53	4.126E+1
241.90	5.097E+1
242.28	8.010E+1
242.65	1.238E+2
243.02	5.097E+1
243.39	3.398E+1
243.77	-8.981E+1
244.14	6.311E+1
244.51	2.184E+1
244.88	7.282E+1
245.25	9.952E+1
245.63	9.952E+1
246.00	-7.039E+1
246.37	-1.942E+1
246.74	4.612E+1
247.11	-2.427E+0
247.49	6.068E+1
247.86	2.427E+0
248.23	-9.709E+1
248.60	-7.282E+0
248.97	9.709E+0
249.35	9.709E+1
249.72	1.214E+2
250.09	0.000E+0
250.46	-7.039E+1
250.83	4.854E+0
251.20	2.427E+1
251.58	-8.981E+1
251.95	6.796E+1
252.32	2.184E+1
252.69	1.699E+1
253.06	1.578E+2
253.43	2.427E+0
253.80	2.427E+1
254.17	1.092E+2
254.55	1.189E+2
254.92	3.884E+1
255.29	5.340E+1
255.66	3.155E+1
256.03	-4.369E+1
256.40	5.097E+1
256.77	1.117E+2
257.14	5.583E+1
257.51	-4.854E+1
257.88	-3.155E+1
258.26	6.796E+1
258.63	1.238E+2
259.00	1.262E+2
259.37	4.854E+0
259.74	9.709E+0
260.11	1.456E+1
260.48	3.155E+1
260.85	9.709E+0
261.22	2.427E+0
261.59	-1.456E+1
261.96	-6.068E+1
262.33	6.796E+1
262.70	9.223E+1
263.07	4.369E+1
263.44	5.097E+1
263.81	3.398E+1
264.18	4.854E+0
264.55	4.126E+1
264.92	7.039E+1
265.29	3.155E+1
265.66	-2.184E+1
266.03	-6.068E+1
266.40	-8.495E+1
266.77	3.155E+1
267.14	4.612E+1
267.51	1.602E+2
267.88	4.612E+1
268.25	-4.854E+0
268.62	2.184E+1
268.99	1.942E+1
269.36	8.495E+1
269.73	4.126E+1
270.10	5.583E+1
270.47	6.068E+1
270.84	1.456E+2
271.21	3.155E+1
271.58	2.184E+1
271.95	-9.709E+0
272.32	3.884E+1
272.69	-1.942E+1
273.06	2.427E+0
273.43	3.155E+1
273.80	4.369E+1
274.17	-2.913E+1
274.53	-8.253E+1
274.90	1.214E+2
275.27	-6.311E+1
275.64	1.699E+1
276.01	0.000E+0
276.38	-8.495E+1
276.75	7.524E+1
277.12	3.641E+1
277.49	2.427E+0
277.86	-4.854E+1
278.22	4.612E+1
278.59	2.427E+1
278.96	7.039E+1
279.33	1.456E+1
279.70	4.369E+1
280.07	-9.709E+0
280.44	-2.184E+1
280.80	-7.282E+0
281.17	-3.641E+1
281.54	1.699E+1
281.91	-1.456E+1
282.28	6.554E+1
282.65	1.189E+2
283.02	4.854E+1
283.38	3.398E+1
283.75	7.282E+0
284.12	5.340E+1
284.49	-2.670E+1
284.86	-2.427E+1
285.22	4.126E+1
285.59	9.223E+1
285.96	6.554E+1
286.33	7.282E+1
286.70	3.641E+1
287.06	1.214E+1
287.43	6.068E+1
287.80	1.942E+1
288.17	-3.641E+1
288.53	4.126E+1
288.90	8.981E+1
289.27	4.126E+1
289.64	4.369E+1
290.01	-9.952E+1
290.37	-7.767E+1
290.74	-8.253E+1
291.11	-6.311E+1
291.48	-5.583E+1
291.84	-4.854E+0
292.21	-1.117E+2
292.58	-5.097E+1
292.94	1.141E+2
293.31	9.952E+1
293.68	1.384E+2
294.05	9.466E+1
294.41	6.068E+1
294.78	1.238E+2
295.15	1.019E+2
295.51	8.981E+1
295.88	6.068E+1
296.25	-3.884E+1
296.61	-2.427E+1
296.98	-2.427E+0
297.35	1.456E+1
297.72	-2.670E+1
298.08	9.709E+0
298.45	4.612E+1
298.82	-2.913E+1
299.18	2.184E+1
299.55	6.554E+1
299.91	-9.709E+0
300.28	-2.913E+1
300.65	9.709E+0
301.01	9.952E+1
301.38	2.184E+1
301.75	5.825E+1
302.11	1.553E+2
302.48	5.825E+1
302.85	-2.427E+1
303.21	-4.612E+1
303.58	1.942E+1
303.94	5.340E+1
304.31	-4.369E+1
304.68	2.184E+1
305.04	4.854E+0
305.41	6.311E+1
305.77	-3.641E+1
306.14	2.184E+1
306.51	2.670E+1
306.87	-2.427E+0
307.24	-3.155E+1
307.60	4.369E+1
307.97	2.913E+1
308.33	-1.214E+1
308.70	6.068E+1
309.07	5.097E+1
309.43	-2.427E+0
309.80	1.942E+1
310.16	6.068E+1
310.53	-1.699E+1
310.89	-1.456E+1
311.26	-3.641E+1
311.62	-9.709E+0
311.99	9.709E+0
312.35	2.670E+1
312.72	1.286E+2
313.08	-4.854E+1
313.45	5.825E+1
313.81	2.427E+1
314.18	9.466E+1
314.54	-9.952E+1
314.91	2.427E+1
315.27	6.311E+1
315.64	5.583E+1
316.00	-7.282E+0
316.37	4.854E+1
316.73	-3.641E+1
317.10	-8.010E+1
317.46	8.738E+1
317.83	4.126E+1
318.19	4.854E+1
318.56	4.854E+1
318.92	4.369E+1
319.28	-5.825E+1
319.65	2.184E+1
320.01	5.340E+1
320.38	-3.398E+1
320.74	2.184E+1
321.11	2.913E+1
321.47	1.214E+1
321.83	1.578E+2
322.20	5.583E+1
322.56	2.427E+0
322.93	0.000E+0
323.29	1.214E+1
323.66	1.942E+1
324.02	1.141E+2
324.38	-1.456E+1
324.75	4.854E+1
325.11	8.253E+1
325.47	-7.767E+1
325.84	-3.398E+1
326.20	5.583E+1
326.57	-5.825E+1
326.93	8.981E+1
327.29	6.796E+1
327.66	1.044E+2
328.02	5.825E+1
328.38	1.408E+2
328.75	7.767E+1
329.11	8.253E+1
329.47	7.524E+1
329.84	-2.427E+1
330.20	-2.184E+1
330.56	-2.427E+1
330.93	1.141E+2
331.29	-2.427E+1
331.65	1.092E+2
332.02	2.427E+0
332.38	7.524E+1
332.74	4.854E+1
333.10	2.184E+1
333.47	9.223E+1
333.83	-6.311E+1
334.19	8.981E+1
334.56	5.825E+1
334.92	8.010E+1
335.28	-4.126E+1
335.64	3.155E+1
336.01	-4.612E+1
336.37	-3.398E+1
336.73	-9.952E+1
337.09	4.854E+0
337.46	-2.670E+1
337.82	3.398E+1
338.18	-2.427E+0
338.54	-2.427E+0
338.91	-2.427E+0
339.27	-3.641E+1
339.63	3.155E+1
339.99	9.709E+0
340.36	-3.641E+1
340.72	8.495E+1
341.08	-2.427E+1
341.44	-3.641E+1
341.80	-5.340E+1
342.17	1.942E+1
342.53	-9.223E+1
342.89	3.641E+1
343.25	1.456E+1
343.61	4.612E+1
343.98	-4.854E+0
344.34	1.214E+1
344.70	9.709E+1
345.06	4.126E+1
345.42	1.699E+1
345.78	5.583E+1
346.14	1.238E+2
346.51	-9.709E+1
346.87	1.699E+1
347.23	7.767E+1
347.59	-2.913E+1
347.95	-2.670E+1
348.31	-7.767E+1
348.67	7.282E+1
349.04	1.456E+1
349.40	0.000E+0
349.76	7.282E+0
350.12	-4.854E+0
350.48	1.189E+2
350.84	-2.427E+0
351.20	4.854E+0
351.56	-3.155E+1
351.92	-2.427E+0
352.28	2.670E+1
352.65	5.097E+1
353.01	-2.670E+1
353.37	-7.282E+1
353.73	-2.670E+1
354.09	7.767E+1
354.45	1.189E+2
354.81	0.000E+0
355.17	7.039E+1
355.53	-3.884E+1
355.89	8.253E+1
356.25	6.796E+1
356.61	-4.854E+0
356.97	-7.039E+1
357.33	9.709E+0
357.69	3.155E+1
358.05	-6.796E+1
358.41	2.184E+1
358.77	2.913E+1
359.13	5.825E+1
359.49	4.369E+1
359.85	9.709E+0
360.21	-5.583E+1
360.57	5.340E+1
360.93	6.311E+1
361.29	4.126E+1
361.65	3.398E+1
362.01	3.641E+1
362.37	7.282E+0
362.73	2.184E+1
363.09	2.670E+1
363.45	8.010E+1
363.81	4.369E+1
364.17	3.641E+1
364.53	-8.253E+1
364.89	1.214E+1
365.25	8.738E+1
365.61	8.010E+1
365.97	-7.282E+0
366.33	-4.612E+1
366.69	-1.699E+1
367.05	6.796E+1
367.40	5.583E+1
367.76	2.913E+1
368.12	9.466E+1
368.48	9.709E+0
368.84	4.369E+1
369.20	-1.262E+2
369.56	1.165E+2
369.92	-2.670E+1
370.28	0.000E+0
370.63	-1.699E+1
370.99	7.282E+1
371.35	5.340E+1
371.71	3.641E+1
372.07	1.942E+1
372.43	6.068E+1
372.79	1.044E+2
373.15	2.184E+1
373.50	2.427E+0
373.86	5.340E+1
374.22	-1.092E+2
