Wavelength	Intensity	Ocean Optics Flame
nm	counts
187.89	0.000E+0
188.27	5.097E+1
188.64	-7.767E+1
189.02	-6.068E+1
189.40	8.010E+1
189.78	2.427E+1
190.15	1.456E+1
190.53	-1.942E+1
190.91	8.253E+1
191.29	1.699E+1
191.66	-1.699E+1
192.04	1.286E+2
192.42	5.825E+1
192.80	6.068E+1
193.17	8.495E+1
193.55	1.748E+2
193.93	4.369E+1
194.30	9.709E+1
194.68	1.578E+2
195.06	9.223E+1
195.44	7.282E+1
195.81	5.583E+1
196.19	1.262E+2
196.57	4.612E+1
196.94	8.010E+1
197.32	-2.427E+0
197.70	1.019E+2
198.07	3.398E+1
198.45	1.238E+2
198.83	-2.184E+1
199.20	-9.709E+0
199.58	1.699E+1
199.96	4.612E+1
200.33	-7.282E+0
200.71	2.670E+1
201.09	1.311E+2
201.46	1.456E+2
201.84	2.913E+1
202.22	5.583E+1
202.59	6.068E+1
202.97	-6.554E+1
203.34	0.000E+0
203.72	1.456E+1
204.10	1.408E+2
204.47	3.398E+1
204.85	3.155E+1
205.23	6.311E+1
205.60	1.699E+1
205.98	8.495E+1
206.35	8.010E+1
206.73	-2.427E+1
207.11	1.699E+1
207.48	9.223E+1
207.86	1.408E+2
208.23	6.311E+1
208.61	-2.427E+0
208.98	-1.456E+1
209.36	-2.427E+0
209.74	4.612E+1
210.11	-2.184E+1
210.49	1.044E+2
210.86	1.044E+2
211.24	1.214E+1
211.61	6.068E+1
211.99	2.184E+1
212.36	-2.427E+0
212.74	4.369E+1
213.11	3.155E+1
213.49	1.748E+2
213.87	5.583E+1
214.24	0.000E+0
214.62	-2.184E+1
214.99	1.699E+1
215.37	9.709E+0
215.74	5.583E+1
216.12	9.709E+0
216.49	-5.097E+1
216.87	6.068E+1
217.24	6.796E+1
217.62	7.524E+1
217.99	-9.709E+0
218.37	2.670E+1
218.74	8.738E+1
219.11	1.019E+2
219.49	1.165E+2
219.86	6.311E+1
220.24	1.117E+2
220.61	-8.253E+1
220.99	1.820E+2
221.36	6.796E+1
221.74	2.670E+1
222.11	8.010E+1
222.49	3.641E+1
222.86	5.583E+1
223.23	9.709E+1
223.61	1.456E+2
223.98	3.884E+1
224.36	1.044E+2
224.73	8.495E+1
225.11	6.311E+1
225.48	5.825E+1
225.85	2.427E+1
226.23	1.772E+2
226.60	8.495E+1
226.98	9.466E+1
227.35	-1.456E+1
227.72	4.126E+1
228.10	7.282E+1
228.47	-1.942E+1
228.84	-1.456E+1
229.22	7.039E+1
229.59	4.369E+1
229.97	8.981E+1
230.34	4.369E+1
230.71	1.626E+2
231.09	1.311E+2
231.46	5.097E+1
231.83	-9.466E+1
232.21	1.238E+2
232.58	-4.126E+1
232.95	2.427E+0
233.33	-1.456E+1
233.70	7.282E+0
234.07	-2.427E+0
234.45	-2.427E+0
234.82	3.641E+1
235.19	1.238E+2
235.57	9.952E+1
235.94	9.709E+1
236.31	5.097E+1
236.69	7.282E+1
237.06	4.126E+1
237.43	6.554E+1
237.80	1.311E+2
238.18	8.981E+1
238.55	5.583E+1
238.92	-1.699E+1
239.30	5.097E+1
239.67	4.612E+1
240.04	4.854E+1
240.41	3.641E+1
240.79	5.340E+1
241.16	6.796E+1
241.53	1.675E+2
241.90	4.854E+1
242.28	4.854E+0
242.65	8.981E+1
243.02	1.019E+2
243.39	1.019E+2
243.77	0.000E+0
244.14	6.068E+1
244.51	9.709E+1
244.88	1.044E+2
245.25	1.141E+2
245.63	-5.825E+1
246.00	2.913E+1
246.37	7.282E+1
246.74	1.942E+1
247.11	8.010E+1
247.49	9.709E+0
247.86	6.796E+1
248.23	1.335E+2
248.60	9.709E+0
248.97	7.039E+1
249.35	1.942E+1
249.72	1.456E+2
250.09	6.311E+1
250.46	-4.369E+1
250.83	1.068E+2
251.20	1.117E+2
251.58	1.942E+1
