Wavelength	Intensity	Ocean Optics Flame
nm	counts
187.89	6.068E+1
188.27	-4.612E+1
188.64	3.884E+1
189.02	7.767E+1
189.40	4.612E+1
189.78	-1.456E+1
190.15	5.583E+1
190.53	5.340E+1
190.91	7.767E+1
191.29	7.282E+0
191.66	1.699E+1
192.04	-7.767E+1
192.42	8.010E+1
192.80	-4.369E+1
193.17	-2.427E+0
193.55	-1.942E+1
193.93	7.767E+1
194.30	-3.155E+1
194.68	5.097E+1
195.06	-2.670E+1
195.44	-5.340E+1
195.81	-3.884E+1
196.19	4.854E+1
196.57	3.398E+1
196.94	-3.398E+1
197.32	6.068E+1
197.70	1.942E+1
198.07	-4.369E+1
198.45	1.238E+2
198.83	2.160E+2
199.20	1.456E+1
199.58	-3.398E+1
199.96	3.155E+1
200.33	-7.767E+1
200.71	-2.913E+1
201.09	4.126E+1
201.46	1.699E+1
201.84	8.010E+1
202.22	3.398E+1
202.59	-6.311E+1
202.97	3.155E+1
203.34	8.495E+1
203.72	-1.699E+1
204.10	-4.612E+1
204.47	4.612E+1
204.85	8.738E+1
205.23	8.253E+1
205.60	5.583E+1
205.98	4.854E+0
206.35	5.825E+1
206.73	6.796E+1
207.11	9.466E+1
207.48	1.942E+1
207.86	-1.214E+1
208.23	6.311E+1
208.61	-3.398E+1
208.98	2.427E+1
209.36	3.884E+1
209.74	-4.126E+1
210.11	-1.214E+1
210.49	1.214E+1
210.86	-4.126E+1
211.24	3.398E+1
211.61	-2.184E+1
211.99	-7.282E+0
212.36	7.767E+1
212.74	-1.942E+1
213.11	-4.126E+1
213.49	-1.189E+2
213.87	9.709E+0
214.24	-9.223E+1
214.62	5.340E+1
214.99	4.126E+1
215.37	2.427E+0
215.74	-1.942E+1
216.12	7.039E+1
216.49	2.670E+1
216.87	4.369E+1
217.24	-2.670E+1
217.62	-2.427E+1
217.99	-7.524E+1
218.37	-3.641E+1
218.74	5.097E+1
219.11	-2.427E+1
219.49	-6.068E+1
219.86	-2.427E+1
220.24	5.825E+1
220.61	5.340E+1
220.99	-5.097E+1
221.36	-1.117E+2
221.74	4.612E+1
222.11	-3.884E+1
222.49	-3.155E+1
222.86	8.010E+1
223.23	5.097E+1
223.61	2.427E+0
223.98	-4.854E+0
224.36	1.456E+1
224.73	4.854E+1
225.11	-2.427E+1
225.48	4.369E+1
225.85	-1.214E+1
226.23	6.554E+1
226.60	8.738E+1
226.98	-3.641E+1
227.35	7.039E+1
227.72	4.854E+1
228.10	-5.097E+1
228.47	-1.456E+1
228.84	7.282E+0
229.22	-7.282E+0
229.59	5.340E+1
229.97	-4.126E+1
230.34	1.238E+2
230.71	2.427E+0
231.09	1.456E+1
231.46	-7.282E+0
231.83	2.913E+1
232.21	5.583E+1
232.58	-1.699E+1
232.95	6.554E+1
233.33	-9.709E+0
233.70	4.854E+1
234.07	-1.699E+1
234.45	-2.670E+1
234.82	2.427E+1
235.19	1.456E+1
