Wavelength	Intensity	Ocean Optics Flame
nm	counts
187.89	6.554E+1
188.27	5.825E+1
188.64	1.262E+2
189.02	-8.495E+1
189.40	2.427E+1
189.78	4.126E+1
190.15	3.884E+1
190.53	-4.854E+0
190.91	-5.097E+1
191.29	-1.092E+2
191.66	8.253E+1
192.04	-4.854E+0
192.42	9.952E+1
192.80	-5.583E+1
193.17	3.641E+1
193.55	-3.641E+1
193.93	2.184E+1
194.30	-2.184E+1
194.68	4.854E+1
195.06	-3.398E+1
195.44	5.097E+1
195.81	2.184E+1
196.19	-5.340E+1
196.57	4.854E+0
196.94	2.427E+0
197.32	3.884E+1
197.70	5.340E+1
198.07	-3.155E+1
198.45	4.612E+1
198.83	-8.738E+1
199.20	-3.398E+1
199.58	-2.670E+1
199.96	8.738E+1
200.33	-4.126E+1
200.71	3.884E+1
201.09	-3.155E+1
201.46	-2.184E+1
201.84	4.854E+1
202.22	4.854E+0
202.59	-1.942E+1
202.97	-7.282E+0
203.34	-3.155E+1
203.72	7.767E+1
204.10	3.155E+1
204.47	4.854E+1
204.85	1.214E+1
205.23	0.000E+0
205.60	-4.369E+1
205.98	-6.796E+1
206.35	0.000E+0
206.73	-4.612E+1
207.11	-1.505E+2
207.48	-4.612E+1
207.86	-4.854E+1
208.23	-3.884E+1
208.61	5.097E+1
208.98	1.699E+1
209.36	8.495E+1
209.74	6.311E+1
210.11	3.884E+1
210.49	1.699E+1
210.86	-2.184E+1
211.24	3.155E+1
211.61	2.670E+1
211.99	-9.709E+0
212.36	4.854E+0
212.74	2.670E+1
213.11	-8.010E+1
213.49	2.184E+1
213.87	4.854E+0
214.24	-7.524E+1
214.62	0.000E+0
214.99	6.068E+1
215.37	-3.398E+1
215.74	1.699E+1
216.12	1.141E+2
216.49	3.398E+1
216.87	-1.942E+1
217.24	1.214E+1
217.62	2.184E+1
217.99	3.155E+1
218.37	-1.699E+1
218.74	5.340E+1
219.11	-1.214E+1
219.49	1.044E+2
219.86	-5.340E+1
220.24	8.981E+1
220.61	-2.670E+1
220.99	-4.854E+0
221.36	5.097E+1
221.74	9.952E+1
222.11	2.670E+1
222.49	9.709E+1
222.86	2.670E+1
223.23	6.068E+1
223.61	7.282E+0
223.98	7.039E+1
224.36	-1.456E+1
224.73	-2.913E+1
225.11	5.583E+1
225.48	3.884E+1
225.85	-1.699E+1
226.23	6.068E+1
226.60	-2.913E+1
226.98	3.155E+1
227.35	2.913E+1
227.72	2.913E+1
228.10	4.854E+1
228.47	8.253E+1
228.84	1.019E+2
229.22	6.796E+1
229.59	1.359E+2
229.97	7.282E+1
230.34	4.612E+1
230.71	2.670E+1
231.09	4.369E+1
231.46	0.000E+0
231.83	9.952E+1
232.21	-3.398E+1
232.58	-1.214E+1
232.95	6.068E+1
233.33	-3.884E+1
233.70	3.398E+1
234.07	3.641E+1
234.45	-3.398E+1
234.82	-8.738E+1
235.19	5.825E+1
235.57	-2.427E+0
235.94	-1.942E+1
236.31	-3.641E+1
236.69	-3.398E+1
237.06	-4.369E+1
237.43	1.942E+1
237.80	4.854E+0
238.18	1.942E+1
238.55	-2.184E+1
238.92	5.583E+1
239.30	0.000E+0
239.67	2.427E+0
240.04	1.456E+1
240.41	3.884E+1
240.79	-7.282E+0
241.16	4.854E+1
241.53	7.282E+1
241.90	1.699E+1
242.28	1.942E+1
242.65	2.427E+1
243.02	5.340E+1
243.39	-2.427E+0
243.77	5.097E+1
244.14	4.854E+1
244.51	-6.554E+1
244.88	7.524E+1
245.25	1.214E+2
245.63	-4.612E+1
246.00	1.068E+2
246.37	4.369E+1
246.74	3.641E+1
247.11	4.126E+1
247.49	9.709E+0
247.86	-3.884E+1
248.23	7.039E+1
248.60	0.000E+0
248.97	8.738E+1
249.35	-8.253E+1
249.72	5.340E+1
250.09	-1.408E+2
250.46	6.796E+1
250.83	0.000E+0
251.20	4.126E+1
251.58	-2.670E+1
251.95	1.214E+1
252.32	3.398E+1
252.69	-9.709E+0
253.06	-5.825E+1
253.43	-2.427E+1
253.80	-7.767E+1
254.17	2.427E+0
254.55	2.913E+1
254.92	3.884E+1
255.29	7.282E+0
255.66	-4.854E+0
256.03	-5.583E+1
256.40	-3.884E+1
256.77	1.165E+2
257.14	3.884E+1
257.51	3.641E+1
257.88	5.340E+1
258.26	-6.311E+1
258.63	-6.311E+1
259.00	-3.398E+1
259.37	-1.214E+1
259.74	-4.126E+1
260.11	-1.699E+1
260.48	7.282E+0
260.85	-7.039E+1
261.22	-2.184E+1
261.59	7.767E+1
261.96	-9.709E+0
262.33	-5.097E+1
262.70	-2.427E+1
263.07	3.884E+1
263.44	4.854E+0
263.81	4.369E+1
264.18	-1.214E+1
264.55	5.583E+1
264.92	2.427E+1
265.29	-2.184E+1
265.66	-1.214E+1
266.03	-2.427E+1
266.40	-7.282E+1
266.77	8.495E+1
267.14	-1.942E+1
267.51	6.068E+1
267.88	6.554E+1
