Wavelength	Intensity	Ocean Optics Flame
nm	counts
187.89	1.748E+2
188.27	8.010E+1
188.64	3.641E+1
189.02	3.641E+1
189.40	-9.709E+0
189.78	-1.456E+1
190.15	1.699E+1
190.53	-3.884E+1
190.91	-3.884E+1
191.29	-8.738E+1
191.66	-1.699E+1
192.04	5.825E+1
192.42	7.282E+1
192.80	3.398E+1
193.17	5.340E+1
193.55	2.670E+1
193.93	7.282E+1
194.30	1.214E+1
194.68	1.214E+1
195.06	4.612E+1
195.44	-4.854E+0
195.81	-1.699E+1
196.19	1.214E+1
196.57	9.952E+1
196.94	-1.165E+2
197.32	6.068E+1
197.70	-7.039E+1
198.07	3.155E+1
198.45	-1.942E+1
198.83	1.942E+1
199.20	7.282E+1
199.58	1.214E+1
199.96	9.466E+1
200.33	-9.709E+0
200.71	4.854E+0
201.09	1.699E+1
201.46	2.427E+1
201.84	-7.282E+0
202.22	3.884E+1
202.59	-4.126E+1
202.97	2.427E+1
203.34	2.184E+1
203.72	6.554E+1
204.10	-1.942E+1
204.47	-1.456E+1
204.85	-2.184E+1
205.23	-9.466E+1
205.60	-7.282E+1
205.98	1.214E+2
206.35	-3.641E+1
206.73	2.184E+1
207.11	-1.214E+1
207.48	8.010E+1
207.86	2.427E+0
208.23	-3.155E+1
208.61	6.311E+1
208.98	-3.641E+1
209.36	7.282E+1
209.74	6.311E+1
210.11	-7.282E+0
210.49	-7.039E+1
210.86	1.699E+1
211.24	-2.184E+1
211.61	2.184E+1
211.99	9.709E+1
212.36	1.019E+2
212.74	7.282E+0
213.11	1.214E+2
213.49	-4.612E+1
213.87	3.884E+1
214.24	3.155E+1
214.62	-6.796E+1
214.99	5.097E+1
215.37	2.184E+1
215.74	6.311E+1
216.12	0.000E+0
216.49	-6.796E+1
216.87	-2.670E+1
217.24	4.369E+1
217.62	-2.427E+0
217.99	3.884E+1
218.37	3.398E+1
218.74	5.583E+1
219.11	-8.981E+1
219.49	6.796E+1
219.86	3.398E+1
220.24	-1.189E+2
220.61	-1.699E+1
220.99	6.311E+1
221.36	-7.282E+1
221.74	4.612E+1
222.11	7.039E+1
222.49	2.427E+0
222.86	4.126E+1
223.23	7.282E+0
223.61	1.942E+1
223.98	4.854E+0
224.36	1.092E+2
224.73	-1.141E+2
225.11	2.184E+1
225.48	8.253E+1
225.85	7.282E+0
226.23	-5.583E+1
226.60	3.884E+1
226.98	2.427E+1
227.35	8.495E+1
227.72	-2.427E+1
228.10	-4.612E+1
228.47	-4.854E+0
228.84	8.495E+1
229.22	2.913E+1
229.59	5.583E+1
229.97	1.505E+2
230.34	5.583E+1
230.71	4.126E+1
231.09	-2.427E+1
231.46	8.253E+1
231.83	4.126E+1
232.21	-7.524E+1
232.58	1.942E+1
232.95	6.068E+1
233.33	-1.699E+1
233.70	-7.282E+0
234.07	0.000E+0
234.45	-4.854E+0
234.82	-4.854E+0
235.19	1.699E+1
235.57	5.340E+1
235.94	1.019E+2
236.31	-9.466E+1
236.69	-5.097E+1
237.06	2.427E+0
237.43	6.068E+1
237.80	5.583E+1
238.18	-7.282E+0
238.55	7.524E+1
238.92	9.709E+0
239.30	0.000E+0
239.67	-1.699E+1
240.04	-3.398E+1
240.41	7.282E+0
240.79	-1.456E+1
241.16	2.427E+1
241.53	-3.398E+1
241.90	-7.039E+1
242.28	-4.126E+1
242.65	-7.524E+1
243.02	4.126E+1
243.39	-7.282E+0
243.77	6.796E+1
244.14	-1.942E+1
244.51	-1.942E+1
244.88	3.155E+1
245.25	-8.981E+1
245.63	-3.398E+1
246.00	1.942E+1
246.37	1.942E+1
246.74	-3.398E+1
247.11	5.097E+1
247.49	-7.282E+0
247.86	-6.311E+1
248.23	8.253E+1
248.60	-1.214E+1
248.97	2.184E+1
249.35	9.709E+0
249.72	1.529E+2
250.09	4.612E+1
250.46	4.612E+1
250.83	-2.670E+1
251.20	4.854E+0
251.58	-4.854E+0
251.95	7.524E+1
252.32	-2.427E+0
252.69	9.466E+1
253.06	-3.155E+1
253.43	2.184E+1
253.80	-4.854E+0
254.17	-7.282E+0
254.55	-7.039E+1
254.92	4.854E+1
255.29	3.155E+1
255.66	2.184E+1
256.03	9.709E+0
256.40	5.583E+1
256.77	6.311E+1
257.14	9.466E+1
257.51	-1.456E+1
257.88	4.854E+0
258.26	7.767E+1
258.63	-6.068E+1
259.00	6.311E+1
259.37	-3.641E+1
259.74	-4.612E+1
260.11	-5.340E+1
260.48	-7.282E+0
260.85	6.068E+1
261.22	7.767E+1
261.59	-9.709E+0
261.96	-2.670E+1
262.33	-2.913E+1
262.70	2.913E+1
263.07	8.253E+1
263.44	4.854E+0
263.81	5.340E+1
264.18	-9.709E+0
264.55	4.854E+0
264.92	-2.184E+1
