Wavelength	Intensity	Ocean Optics Flame
nm	counts
187.89	-1.942E+1
188.27	-3.884E+1
188.64	-2.184E+1
189.02	8.010E+1
189.40	2.427E+1
189.78	3.884E+1
190.15	7.767E+1
190.53	4.854E+1
190.91	9.466E+1
191.29	7.039E+1
191.66	4.854E+0
192.04	7.282E+1
192.42	-2.913E+1
192.80	6.554E+1
193.17	3.884E+1
193.55	-3.155E+1
193.93	2.427E+0
194.30	-6.311E+1
194.68	8.981E+1
195.06	2.427E+1
195.44	3.155E+1
195.81	-2.184E+1
196.19	2.184E+1
196.57	-4.854E+0
196.94	-2.427E+0
197.32	8.010E+1
197.70	5.340E+1
198.07	4.126E+1
198.45	1.214E+1
198.83	1.117E+2
199.20	1.189E+2
199.58	2.427E+0
199.96	1.456E+1
200.33	1.699E+1
200.71	-1.214E+1
201.09	7.282E+0
201.46	-1.456E+1
201.84	-1.699E+1
202.22	0.000E+0
202.59	6.311E+1
202.97	3.398E+1
203.34	-2.670E+1
203.72	8.495E+1
204.10	-9.709E+0
204.47	1.214E+1
204.85	2.184E+1
205.23	-7.767E+1
205.60	5.825E+1
205.98	1.942E+1
206.35	1.942E+1
206.73	1.748E+2
207.11	5.825E+1
207.48	4.854E+0
207.86	3.398E+1
208.23	-1.942E+1
208.61	-4.854E+0
208.98	2.913E+1
209.36	4.126E+1
209.74	-1.214E+1
210.11	-2.427E+1
210.49	-4.612E+1
210.86	7.767E+1
211.24	7.282E+0
211.61	3.641E+1
211.99	7.039E+1
212.36	4.369E+1
212.74	-9.709E+0
213.11	-3.884E+1
213.49	4.854E+1
213.87	2.427E+0
214.24	-1.214E+1
214.62	-9.709E+0
214.99	-9.709E+0
215.37	-3.884E+1
215.74	3.398E+1
216.12	1.456E+1
216.49	6.796E+1
216.87	1.068E+2
217.24	-5.340E+1
217.62	3.641E+1
217.99	1.214E+1
218.37	4.854E+0
218.74	-1.117E+2
219.11	7.039E+1
219.49	-2.670E+1
219.86	-1.262E+2
220.24	2.670E+1
220.61	-6.068E+1
220.99	8.495E+1
221.36	-8.010E+1
221.74	-1.456E+1
222.11	-3.641E+1
222.49	6.068E+1
222.86	0.000E+0
223.23	1.214E+1
223.61	7.524E+1
223.98	7.282E+1
224.36	4.854E+0
224.73	7.767E+1
225.11	-1.505E+2
225.48	0.000E+0
225.85	-6.068E+1
226.23	3.641E+1
226.60	1.165E+2
226.98	3.641E+1
227.35	-5.340E+1
227.72	6.068E+1
228.10	-4.854E+0
228.47	9.709E+1
228.84	5.825E+1
229.22	-6.554E+1
229.59	-2.913E+1
229.97	8.010E+1
230.34	-1.942E+1
230.71	7.282E+1
231.09	-4.854E+0
231.46	-3.884E+1
231.83	-9.709E+0
232.21	3.398E+1
232.58	7.039E+1
232.95	-2.184E+1
233.33	4.854E+1
233.70	1.456E+1
234.07	1.699E+1
234.45	-3.155E+1
234.82	8.738E+1
235.19	6.311E+1
235.57	-7.039E+1
235.94	7.282E+0
236.31	-5.583E+1
236.69	-4.369E+1
237.06	-8.010E+1
237.43	-2.427E+0
237.80	-9.709E+1
238.18	1.699E+1
238.55	2.670E+1
238.92	-1.456E+1
239.30	-2.184E+1
239.67	1.942E+1
240.04	4.854E+0
240.41	-9.709E+0
240.79	4.126E+1
241.16	-1.699E+1
241.53	1.117E+2
241.90	-4.126E+1
242.28	6.311E+1
242.65	-7.039E+1
243.02	7.282E+1
243.39	-1.092E+2
243.77	-5.825E+1
244.14	1.044E+2
244.51	6.068E+1
244.88	-7.282E+0
245.25	2.913E+1
245.63	-3.884E+1
246.00	-5.340E+1
246.37	3.884E+1
246.74	-4.854E+0
247.11	-1.456E+1
247.49	-6.311E+1
247.86	-2.670E+1
248.23	3.884E+1
248.60	1.092E+2
248.97	-4.126E+1
249.35	2.427E+0
249.72	4.369E+1
250.09	7.282E+1
250.46	5.097E+1
250.83	8.495E+1
251.20	2.184E+1
251.58	-2.427E+0
251.95	1.044E+2
252.32	-7.282E+0
252.69	4.854E+1
253.06	2.184E+1
253.43	-2.427E+0
253.80	7.524E+1
254.17	-4.612E+1
254.55	1.262E+2
254.92	4.854E+0
255.29	2.913E+1
255.66	-3.398E+1
256.03	2.427E+0
256.40	-1.117E+2
256.77	3.155E+1
257.14	3.398E+1
257.51	3.641E+1
257.88	-2.427E+0
258.26	1.092E+2
258.63	5.825E+1
259.00	6.068E+1
259.37	3.641E+1
259.74	9.709E+0
260.11	2.427E+1
260.48	0.000E+0
260.85	-6.554E+1
261.22	7.282E+1
261.59	-5.340E+1
261.96	2.184E+1
262.33	-4.854E+0
262.70	-1.286E+2
263.07	7.039E+1
263.44	1.214E+1
263.81	2.427E+1
264.18	6.554E+1
264.55	5.340E+1
264.92	-1.044E+2
265.29	2.670E+1
265.66	-1.699E+1
266.03	-6.796E+1
266.40	2.670E+1
266.77	-8.981E+1
267.14	-6.311E+1
267.51	1.942E+1
267.88	1.942E+1
268.25	1.214E+1
268.62	2.670E+1
268.99	-2.427E+0
269.36	-7.767E+1
269.73	3.398E+1
270.10	1.456E+1
270.47	-3.884E+1
270.84	-7.282E+0
271.21	6.311E+1
271.58	-3.641E+1
271.95	-1.214E+1
272.32	4.854E+0
272.69	4.612E+1
273.06	-7.282E+0
273.43	-1.942E+1
273.80	-1.214E+1
274.17	-2.427E+0
274.53	1.408E+2
274.90	3.398E+1
275.27	-4.854E+0
275.64	9.952E+1
276.01	5.097E+1
276.38	5.583E+1
276.75	2.184E+1
277.12	2.427E+0
277.49	1.699E+1
277.86	2.184E+1
278.22	4.612E+1
278.59	0.000E+0
278.96	-4.126E+1
279.33	6.796E+1
279.70	6.554E+1
280.07	8.738E+1
280.44	-8.738E+1
280.80	4.854E+1
281.17	1.602E+2
281.54	6.311E+1
281.91	-2.427E+1
282.28	6.311E+1
282.65	-3.398E+1
283.02	4.126E+1
283.38	-3.155E+1
283.75	-7.282E+0
284.12	5.583E+1
284.49	3.641E+1
284.86	-2.427E+1
285.22	2.913E+1
285.59	3.398E+1
285.96	4.369E+1
286.33	-1.214E+2
286.70	-2.427E+0
287.06	-9.223E+1
287.43	7.282E+0
287.80	1.699E+1
288.17	1.214E+1
288.53	-3.884E+1
288.90	8.010E+1
289.27	5.340E+1
289.64	-4.854E+0
290.01	-1.456E+1
290.37	5.825E+1
290.74	8.738E+1
291.11	2.427E+0
291.48	-7.524E+1
291.84	-3.641E+1
292.21	-7.767E+1
292.58	4.854E+1
292.94	1.214E+1
293.31	2.670E+1
293.68	7.282E+0
294.05	4.854E+1
294.41	-4.369E+1
294.78	2.670E+1
295.15	9.709E+0
295.51	8.981E+1
295.88	3.884E+1
296.25	4.612E+1
296.61	1.286E+2
296.98	8.738E+1
297.35	-4.612E+1
297.72	-6.311E+1
298.08	-2.427E+0
298.45	6.311E+1
298.82	4.854E+0
299.18	-2.184E+1
299.55	1.214E+1
299.91	7.524E+1
300.28	1.699E+1
300.65	2.427E+0
301.01	0.000E+0
301.38	1.214E+1
301.75	7.524E+1
302.11	1.214E+1
302.48	-4.612E+1
302.85	9.709E+0
303.21	0.000E+0
303.58	-1.214E+1
303.94	1.529E+2
304.31	-6.554E+1
304.68	5.340E+1
305.04	9.709E+0
305.41	-4.854E+1
305.77	-2.184E+1
306.14	-7.524E+1
306.51	2.427E+0
306.87	9.709E+0
307.24	-7.282E+1
307.60	6.068E+1
307.97	-6.554E+1
308.33	4.854E+0
308.70	5.825E+1
309.07	-3.155E+1
309.43	-1.456E+1
309.80	3.884E+1
310.16	5.097E+1
310.53	4.369E+1
310.89	2.670E+1
311.26	3.641E+1
311.62	4.369E+1
311.99	2.670E+1
312.35	-4.126E+1
312.72	2.670E+1
313.08	1.214E+1
313.45	-3.155E+1
313.81	-4.126E+1
314.18	3.641E+1
314.54	-2.184E+1
314.91	-2.427E+0
315.27	-3.641E+1
315.64	6.796E+1
316.00	1.214E+1
316.37	5.825E+1
316.73	-7.524E+1
317.10	4.854E+0
317.46	-3.884E+1
317.83	0.000E+0
318.19	-5.825E+1
318.56	8.738E+1
318.92	1.214E+1
319.28	6.796E+1
319.65	4.854E+1
320.01	2.913E+1
320.38	0.000E+0
320.74	2.184E+1
321.11	-4.854E+1
321.47	9.709E+0
321.83	1.456E+1
322.20	0.000E+0
322.56	-3.398E+1
322.93	-5.340E+1
323.29	1.456E+1
323.66	-3.155E+1
324.02	7.282E+1
324.38	-4.612E+1
324.75	-1.699E+1
325.11	-2.184E+1
325.47	-4.854E+1
325.84	1.699E+1
326.20	-6.311E+1
326.57	8.738E+1
326.93	7.524E+1
327.29	5.825E+1
327.66	-2.913E+1
328.02	7.039E+1
328.38	2.913E+1
328.75	-2.184E+1
329.11	1.942E+1
329.47	0.000E+0
329.84	3.155E+1
330.20	-4.854E+1
330.56	1.456E+1
330.93	-1.942E+1
331.29	2.427E+1
331.65	-1.214E+1
332.02	9.709E+0
332.38	-8.981E+1
332.74	-3.884E+1
333.10	2.427E+0
333.47	-6.068E+1
333.83	1.068E+2
334.19	3.641E+1
334.56	8.738E+1
334.92	1.456E+1
335.28	-5.340E+1
335.64	9.709E+0
336.01	8.738E+1
336.37	6.796E+1
336.73	-6.068E+1
337.09	-1.214E+1
337.46	0.000E+0
337.82	-5.340E+1
338.18	-5.825E+1
338.54	4.854E+0
338.91	7.039E+1
339.27	1.408E+2
339.63	7.282E+0
339.99	-3.884E+1
340.36	-3.155E+1
340.72	3.155E+1
341.08	5.583E+1
341.44	-3.398E+1
341.80	-2.913E+1
342.17	1.942E+1
342.53	8.981E+1
342.89	9.223E+1
343.25	4.612E+1
343.61	0.000E+0
343.98	-4.854E+0
344.34	8.253E+1
344.70	1.699E+1
345.06	4.126E+1
345.42	6.796E+1
345.78	-4.612E+1
346.14	-3.641E+1
346.51	2.427E+1
346.87	-1.214E+1
347.23	2.427E+1
347.59	-3.155E+1
347.95	7.524E+1
